DLBA Sale ID,Address,Sale Closed Date,Final Sale Price,Program,Block Range,Council District,Neighborhood,Zip Code,Street Number,Street Prefix,Street Name,Street Type,Parcel ID,Address ID,Longitude,Latitude,ObjectId,x,y
A-233437,9435 Burnette,2020-04-24,2000,Own It Now,9300-9499 Burnette St,6,Midwest,48204,9435,,BURNETTE,St,16022359.,203159,-83.1423157380499,42.36583139388,2184,-9255360.25133329,5215937.71725125
A-345602,3277 Hazelwood,2022-09-08,1000,Own It Now,3200-3699 Hazelwood St,5,Jamison,48206,3277,,HAZELWOOD,St,12002437.,56960,-83.1142218087899,42.3687003985993,2185,-9252232.84943368,5216369.98397368
A-146104,20236 Chapel,2018-02-22,1000,Own It Now,20200-20318 Chapel St,1,Evergreen Lahser 7/8,48219,20236,,CHAPEL,St,22111473.,95340,-83.2547242798571,42.4404484874545,2186,-9267873.51296808,5227186.54120059
A-141516,19518 Alcoy,2017-07-27,1000,Own It Now,19500-19699 Alcoy St,3,Pulaski,48205,19518,,ALCOY,St,21015638.,220204,-82.9885786169572,42.4388037730126,2187,-9238246.31329723,5226938.44966971
A-273809,5316 Ivanhoe,2021-03-24,1000,Own It Now,5200-5499 Ivanhoe St,6,Midwest,48204,5316,,IVANHOE,St,16003001.,195957,-83.1275624497367,42.3574420999762,2188,-9253717.92279073,5214673.83376945
A-235686,20159 Carrie,2019-10-22,1500,Own It Now,20100-20399 Carrie St,3,Sherwood,48234,20159,,CARRIE,St,15008398.,266917,-83.0310617142156,42.44440902548,2189,-9242975.51005135,5227783.98223276
A-364346,14271 Mark Twain,2023-05-10,3800,Demo Pull Sale,14200-14499 Mark Twain St,1,Hubbell-Lyndon,48227,14271,,MARK TWAIN,St,22037343.,128768,-83.1865615471837,42.3921041854692,2190,-9260285.6722758,5219896.91950634
A-236605,11680 Forrer,2019-08-30,1000,Own It Now,11600-11999 Forrer St,7,Plymouth-I96,48227,11680,,FORRER,St,22053779.,216766,-83.2008472388284,42.3737585691377,2191,-9261875.94819532,5217132.13565559
A-375904,7462 Prairie,2023-08-01,23200,Own It Now,7400-7699 Prairie St,6,Midwest,48210,7462,,PRAIRIE,St,18013467.,182065,-83.1426187500161,42.348152100169,2192,-9255393.98247108,5213274.45189967
A-272995,19493 Biltmore,2020-10-21,2000,Own It Now,19400-19699 Biltmore St,2,Greenfield,48235,19493,,BILTMORE,St,22064289.,77911,-83.212332122392,42.435213837063,2193,-9263154.43958543,5226396.96022722
